Date,Department,Dept_Date_Key,Nurses_On_Shift,Patients_Assigned,Patient_To_Nurse_Ratio
2024-08-13,ICU,ICU_2024-08-13,16,32,2.0
2024-08-14,ICU,ICU_2024-08-14,18,37,2.06
2024-08-15,ICU,ICU_2024-08-15,18,37,2.06
2024-08-16,ICU,ICU_2024-08-16,18,37,2.06
2024-08-17,ICU,ICU_2024-08-17,18,35,1.94
2024-08-18,ICU,ICU_2024-08-18,18,36,2.0
2024-08-19,ICU,ICU_2024-08-19,16,33,2.06
2024-08-20,ICU,ICU_2024-08-20,18,37,2.06
2024-08-21,ICU,ICU_2024-08-21,20,39,1.95
2024-08-22,ICU,ICU_2024-08-22,18,37,2.06
2024-08-23,ICU,ICU_2024-08-23,19,38,2.0
2024-08-24,ICU,ICU_2024-08-24,18,35,1.94
2024-08-25,ICU,ICU_2024-08-25,20,39,1.95
2024-08-26,ICU,ICU_2024-08-26,20,39,1.95
2024-08-27,ICU,ICU_2024-08-27,18,37,2.06
2024-08-28,ICU,ICU_2024-08-28,18,35,1.94
2024-08-29,ICU,ICU_2024-08-29,19,38,2.0
2024-08-30,ICU,ICU_2024-08-30,20,39,1.95
2024-08-31,ICU,ICU_2024-08-31,20,40,2.0
2024-09-01,ICU,ICU_2024-09-01,18,37,2.06
2024-09-02,ICU,ICU_2024-09-02,18,37,2.06
2024-09-03,ICU,ICU_2024-09-03,20,40,2.0
2024-09-04,ICU,ICU_2024-09-04,18,36,2.0
2024-09-05,ICU,ICU_2024-09-05,18,37,2.06
2024-09-06,ICU,ICU_2024-09-06,18,35,1.94
2024-09-07,ICU,ICU_2024-09-07,18,36,2.0
2024-09-08,ICU,ICU_2024-09-08,18,36,2.0
2024-09-09,ICU,ICU_2024-09-09,18,35,1.94
2024-09-10,ICU,ICU_2024-09-10,18,35,1.94
2024-09-11,ICU,ICU_2024-09-11,20,40,2.0
2024-09-12,ICU,ICU_2024-09-12,18,36,2.0
2024-09-13,ICU,ICU_2024-09-13,18,36,2.0
2024-09-14,ICU,ICU_2024-09-14,19,38,2.0
2024-09-15,ICU,ICU_2024-09-15,16,33,2.06
2024-09-16,ICU,ICU_2024-09-16,18,35,1.94
2024-09-17,ICU,ICU_2024-09-17,18,36,2.0
2024-09-18,ICU,ICU_2024-09-18,18,37,2.06
2024-09-19,ICU,ICU_2024-09-19,20,39,1.95
2024-09-20,ICU,ICU_2024-09-20,18,36,2.0
2024-09-21,ICU,ICU_2024-09-21,18,37,2.06
2024-09-22,ICU,ICU_2024-09-22,18,35,1.94
2024-09-23,ICU,ICU_2024-09-23,18,37,2.06
2024-09-24,ICU,ICU_2024-09-24,18,37,2.06
2024-09-25,ICU,ICU_2024-09-25,19,38,2.0
2024-09-26,ICU,ICU_2024-09-26,18,36,2.0
2024-09-27,ICU,ICU_2024-09-27,18,36,2.0
2024-09-28,ICU,ICU_2024-09-28,18,37,2.06
2024-09-29,ICU,ICU_2024-09-29,18,35,1.94
2024-09-30,ICU,ICU_2024-09-30,17,34,2.0
2024-10-01,ICU,ICU_2024-10-01,17,34,2.0
2024-10-02,ICU,ICU_2024-10-02,18,36,2.0
2024-10-03,ICU,ICU_2024-10-03,20,39,1.95
2024-10-04,ICU,ICU_2024-10-04,18,36,2.0
2024-10-05,ICU,ICU_2024-10-05,18,36,2.0
2024-10-06,ICU,ICU_2024-10-06,18,37,2.06
2024-10-07,ICU,ICU_2024-10-07,18,36,2.0
2024-10-08,ICU,ICU_2024-10-08,18,36,2.0
2024-10-09,ICU,ICU_2024-10-09,17,34,2.0
2024-10-10,ICU,ICU_2024-10-10,18,37,2.06
2024-10-11,ICU,ICU_2024-10-11,20,39,1.95
2024-10-12,ICU,ICU_2024-10-12,18,37,2.06
2024-10-13,ICU,ICU_2024-10-13,19,38,2.0
2024-10-14,ICU,ICU_2024-10-14,19,38,2.0
2024-10-15,ICU,ICU_2024-10-15,17,34,2.0
2024-10-16,ICU,ICU_2024-10-16,18,36,2.0
2024-10-17,ICU,ICU_2024-10-17,18,35,1.94
2024-10-18,ICU,ICU_2024-10-18,18,35,1.94
2024-10-19,ICU,ICU_2024-10-19,19,38,2.0
2024-10-20,ICU,ICU_2024-10-20,18,36,2.0
2024-10-21,ICU,ICU_2024-10-21,18,37,2.06
2024-10-22,ICU,ICU_2024-10-22,18,37,2.06
2024-10-23,ICU,ICU_2024-10-23,18,36,2.0
2024-10-24,ICU,ICU_2024-10-24,20,39,1.95
2024-10-25,ICU,ICU_2024-10-25,17,34,2.0
2024-10-26,ICU,ICU_2024-10-26,20,40,2.0
2024-10-27,ICU,ICU_2024-10-27,18,35,1.94
2024-10-28,ICU,ICU_2024-10-28,18,35,1.94
2024-10-29,ICU,ICU_2024-10-29,19,38,2.0
2024-10-30,ICU,ICU_2024-10-30,18,36,2.0
2024-10-31,ICU,ICU_2024-10-31,18,37,2.06
2024-11-01,ICU,ICU_2024-11-01,18,35,1.94
2024-11-02,ICU,ICU_2024-11-02,19,38,2.0
2024-11-03,ICU,ICU_2024-11-03,18,35,1.94
2024-11-04,ICU,ICU_2024-11-04,20,40,2.0
2024-11-05,ICU,ICU_2024-11-05,19,38,2.0
2024-11-06,ICU,ICU_2024-11-06,18,36,2.0
2024-11-07,ICU,ICU_2024-11-07,18,36,2.0
2024-11-08,ICU,ICU_2024-11-08,18,37,2.06
2024-11-09,ICU,ICU_2024-11-09,19,38,2.0
2024-11-10,ICU,ICU_2024-11-10,18,35,1.94
2024-11-11,ICU,ICU_2024-11-11,19,38,2.0
2024-11-12,ICU,ICU_2024-11-12,20,40,2.0
2024-11-13,ICU,ICU_2024-11-13,15,30,2.0
2024-11-14,ICU,ICU_2024-11-14,16,33,2.06
2024-11-15,ICU,ICU_2024-11-15,18,35,1.94
2024-11-16,ICU,ICU_2024-11-16,18,36,2.0
2024-11-17,ICU,ICU_2024-11-17,19,38,2.0
2024-11-18,ICU,ICU_2024-11-18,17,34,2.0
2024-11-19,ICU,ICU_2024-11-19,16,32,2.0
2024-11-20,ICU,ICU_2024-11-20,19,38,2.0
2024-11-21,ICU,ICU_2024-11-21,17,34,2.0
2024-11-22,ICU,ICU_2024-11-22,18,35,1.94
2024-11-23,ICU,ICU_2024-11-23,18,37,2.06
2024-11-24,ICU,ICU_2024-11-24,18,36,2.0
2024-11-25,ICU,ICU_2024-11-25,20,39,1.95
2024-11-26,ICU,ICU_2024-11-26,19,38,2.0
2024-11-27,ICU,ICU_2024-11-27,18,35,1.94
2024-11-28,ICU,ICU_2024-11-28,18,36,2.0
2024-11-29,ICU,ICU_2024-11-29,18,36,2.0
2024-11-30,ICU,ICU_2024-11-30,18,36,2.0
2024-12-01,ICU,ICU_2024-12-01,16,33,2.06
2024-12-02,ICU,ICU_2024-12-02,18,35,1.94
2024-12-03,ICU,ICU_2024-12-03,17,34,2.0
2024-12-04,ICU,ICU_2024-12-04,20,39,1.95
2024-12-05,ICU,ICU_2024-12-05,19,38,2.0
2024-12-06,ICU,ICU_2024-12-06,18,37,2.06
2024-12-07,ICU,ICU_2024-12-07,17,34,2.0
2024-12-08,ICU,ICU_2024-12-08,18,36,2.0
2024-12-09,ICU,ICU_2024-12-09,18,35,1.94
2024-12-10,ICU,ICU_2024-12-10,18,37,2.06
2024-12-11,ICU,ICU_2024-12-11,18,36,2.0
2024-12-12,ICU,ICU_2024-12-12,17,34,2.0
2024-12-13,ICU,ICU_2024-12-13,20,39,1.95
2024-12-14,ICU,ICU_2024-12-14,18,36,2.0
2024-12-15,ICU,ICU_2024-12-15,18,36,2.0
2024-12-16,ICU,ICU_2024-12-16,18,37,2.06
2024-12-17,ICU,ICU_2024-12-17,19,38,2.0
2024-12-18,ICU,ICU_2024-12-18,16,33,2.06
2024-12-19,ICU,ICU_2024-12-19,18,37,2.06
2024-12-20,ICU,ICU_2024-12-20,20,40,2.0
2024-12-21,ICU,ICU_2024-12-21,18,36,2.0
2024-12-22,ICU,ICU_2024-12-22,18,35,1.94
2024-12-23,ICU,ICU_2024-12-23,18,37,2.06
2024-12-24,ICU,ICU_2024-12-24,18,35,1.94
2024-12-25,ICU,ICU_2024-12-25,18,37,2.06
2024-12-26,ICU,ICU_2024-12-26,18,36,2.0
2024-12-27,ICU,ICU_2024-12-27,18,35,1.94
2024-12-28,ICU,ICU_2024-12-28,18,37,2.06
2024-12-29,ICU,ICU_2024-12-29,18,37,2.06
2024-12-30,ICU,ICU_2024-12-30,20,39,1.95
2024-12-31,ICU,ICU_2024-12-31,20,39,1.95
2025-01-01,ICU,ICU_2025-01-01,19,38,2.0
2025-01-02,ICU,ICU_2025-01-02,20,40,2.0
2025-01-03,ICU,ICU_2025-01-03,18,37,2.06
2025-01-04,ICU,ICU_2025-01-04,18,37,2.06
2025-01-05,ICU,ICU_2025-01-05,18,36,2.0
2025-01-06,ICU,ICU_2025-01-06,18,35,1.94
2025-01-07,ICU,ICU_2025-01-07,18,37,2.06
2025-01-08,ICU,ICU_2025-01-08,19,38,2.0
2025-01-09,ICU,ICU_2025-01-09,18,36,2.0
2025-01-10,ICU,ICU_2025-01-10,18,36,2.0
2025-01-11,ICU,ICU_2025-01-11,17,34,2.0
2025-01-12,ICU,ICU_2025-01-12,19,38,2.0
2025-01-13,ICU,ICU_2025-01-13,18,37,2.06
2025-01-14,ICU,ICU_2025-01-14,19,38,2.0
2025-01-15,ICU,ICU_2025-01-15,19,38,2.0
2025-01-16,ICU,ICU_2025-01-16,18,37,2.06
2025-01-17,ICU,ICU_2025-01-17,18,37,2.06
2025-01-18,ICU,ICU_2025-01-18,18,36,2.0
2025-01-19,ICU,ICU_2025-01-19,18,35,1.94
2025-01-20,ICU,ICU_2025-01-20,18,37,2.06
2025-01-21,ICU,ICU_2025-01-21,18,37,2.06
2025-01-22,ICU,ICU_2025-01-22,18,36,2.0
2025-01-23,ICU,ICU_2025-01-23,18,37,2.06
2025-01-24,ICU,ICU_2025-01-24,18,37,2.06
2025-01-25,ICU,ICU_2025-01-25,20,39,1.95
2025-01-26,ICU,ICU_2025-01-26,18,35,1.94
2025-01-27,ICU,ICU_2025-01-27,18,35,1.94
2025-01-28,ICU,ICU_2025-01-28,18,35,1.94
2025-01-29,ICU,ICU_2025-01-29,19,38,2.0
2025-01-30,ICU,ICU_2025-01-30,19,38,2.0
2025-01-31,ICU,ICU_2025-01-31,20,39,1.95
2025-02-01,ICU,ICU_2025-02-01,20,39,1.95
2025-02-02,ICU,ICU_2025-02-02,18,36,2.0
2025-02-03,ICU,ICU_2025-02-03,18,37,2.06
2025-02-04,ICU,ICU_2025-02-04,18,36,2.0
2025-02-05,ICU,ICU_2025-02-05,18,36,2.0
2025-02-06,ICU,ICU_2025-02-06,19,38,2.0
2025-02-07,ICU,ICU_2025-02-07,16,33,2.06
2025-02-08,ICU,ICU_2025-02-08,18,36,2.0
2025-02-09,ICU,ICU_2025-02-09,20,39,1.95
2025-02-10,ICU,ICU_2025-02-10,18,35,1.94
2025-02-11,ICU,ICU_2025-02-11,16,33,2.06
2025-02-12,ICU,ICU_2025-02-12,19,38,2.0
2025-02-13,ICU,ICU_2025-02-13,17,34,2.0
2025-02-14,ICU,ICU_2025-02-14,20,40,2.0
2025-02-15,ICU,ICU_2025-02-15,19,38,2.0
2025-02-16,ICU,ICU_2025-02-16,20,39,1.95
2025-02-17,ICU,ICU_2025-02-17,18,35,1.94
2025-02-18,ICU,ICU_2025-02-18,18,35,1.94
2025-02-19,ICU,ICU_2025-02-19,18,36,2.0
2025-02-20,ICU,ICU_2025-02-20,16,33,2.06
2025-02-21,ICU,ICU_2025-02-21,16,32,2.0
2025-02-22,ICU,ICU_2025-02-22,18,36,2.0
2025-02-23,ICU,ICU_2025-02-23,16,33,2.06
2025-02-24,ICU,ICU_2025-02-24,19,38,2.0
2025-02-25,ICU,ICU_2025-02-25,20,39,1.95
2025-02-26,ICU,ICU_2025-02-26,18,35,1.94
2025-02-27,ICU,ICU_2025-02-27,18,35,1.94
2025-02-28,ICU,ICU_2025-02-28,18,35,1.94
2025-03-01,ICU,ICU_2025-03-01,18,35,1.94
2025-03-02,ICU,ICU_2025-03-02,18,36,2.0
2025-03-03,ICU,ICU_2025-03-03,18,37,2.06
2025-03-04,ICU,ICU_2025-03-04,18,36,2.0
2025-03-05,ICU,ICU_2025-03-05,19,38,2.0
2025-03-06,ICU,ICU_2025-03-06,19,38,2.0
2025-03-07,ICU,ICU_2025-03-07,20,39,1.95
2025-03-08,ICU,ICU_2025-03-08,18,37,2.06
2025-03-09,ICU,ICU_2025-03-09,19,38,2.0
2025-03-10,ICU,ICU_2025-03-10,18,36,2.0
2025-03-11,ICU,ICU_2025-03-11,16,33,2.06
2025-03-12,ICU,ICU_2025-03-12,18,36,2.0
2025-03-13,ICU,ICU_2025-03-13,17,34,2.0
2025-03-14,ICU,ICU_2025-03-14,19,38,2.0
2025-03-15,ICU,ICU_2025-03-15,18,36,2.0
2025-03-16,ICU,ICU_2025-03-16,20,39,1.95
2025-03-17,ICU,ICU_2025-03-17,20,39,1.95
2025-03-18,ICU,ICU_2025-03-18,16,33,2.06
2025-03-19,ICU,ICU_2025-03-19,18,37,2.06
2025-03-20,ICU,ICU_2025-03-20,20,39,1.95
2025-03-21,ICU,ICU_2025-03-21,18,37,2.06
2025-03-22,ICU,ICU_2025-03-22,17,34,2.0
2025-03-23,ICU,ICU_2025-03-23,18,37,2.06
2025-03-24,ICU,ICU_2025-03-24,18,35,1.94
2025-03-25,ICU,ICU_2025-03-25,17,34,2.0
2025-03-26,ICU,ICU_2025-03-26,18,35,1.94
2025-03-27,ICU,ICU_2025-03-27,18,37,2.06
2025-03-28,ICU,ICU_2025-03-28,18,37,2.06
2025-03-29,ICU,ICU_2025-03-29,18,36,2.0
2025-03-30,ICU,ICU_2025-03-30,19,38,2.0
2025-03-31,ICU,ICU_2025-03-31,20,39,1.95
2025-04-01,ICU,ICU_2025-04-01,17,34,2.0
2025-04-02,ICU,ICU_2025-04-02,18,36,2.0
2025-04-03,ICU,ICU_2025-04-03,19,38,2.0
2025-04-04,ICU,ICU_2025-04-04,16,31,1.94
2025-04-05,ICU,ICU_2025-04-05,17,34,2.0
2025-04-06,ICU,ICU_2025-04-06,18,36,2.0
2025-04-07,ICU,ICU_2025-04-07,18,36,2.0
2025-04-08,ICU,ICU_2025-04-08,18,36,2.0
2025-04-09,ICU,ICU_2025-04-09,19,38,2.0
2025-04-10,ICU,ICU_2025-04-10,18,36,2.0
2025-04-11,ICU,ICU_2025-04-11,19,38,2.0
2025-04-12,ICU,ICU_2025-04-12,19,38,2.0
2025-04-13,ICU,ICU_2025-04-13,16,32,2.0
2025-04-14,ICU,ICU_2025-04-14,16,33,2.06
2025-04-15,ICU,ICU_2025-04-15,18,35,1.94
2025-04-16,ICU,ICU_2025-04-16,16,33,2.06
2025-04-17,ICU,ICU_2025-04-17,17,34,2.0
2025-04-18,ICU,ICU_2025-04-18,18,35,1.94
2025-04-19,ICU,ICU_2025-04-19,18,36,2.0
2025-04-20,ICU,ICU_2025-04-20,18,35,1.94
2025-04-21,ICU,ICU_2025-04-21,18,37,2.06
2025-04-22,ICU,ICU_2025-04-22,19,38,2.0
2025-04-23,ICU,ICU_2025-04-23,18,37,2.06
2025-04-24,ICU,ICU_2025-04-24,19,38,2.0
2025-04-25,ICU,ICU_2025-04-25,18,37,2.06
2025-04-26,ICU,ICU_2025-04-26,17,34,2.0
2025-04-27,ICU,ICU_2025-04-27,16,33,2.06
2025-04-28,ICU,ICU_2025-04-28,20,40,2.0
2025-04-29,ICU,ICU_2025-04-29,18,36,2.0
2025-04-30,ICU,ICU_2025-04-30,18,35,1.94
2025-05-01,ICU,ICU_2025-05-01,20,40,2.0
2025-05-02,ICU,ICU_2025-05-02,18,37,2.06
2025-05-03,ICU,ICU_2025-05-03,16,32,2.0
2025-05-04,ICU,ICU_2025-05-04,18,36,2.0
2025-05-05,ICU,ICU_2025-05-05,18,36,2.0
2025-05-06,ICU,ICU_2025-05-06,20,39,1.95
2025-05-07,ICU,ICU_2025-05-07,18,35,1.94
2025-05-08,ICU,ICU_2025-05-08,20,40,2.0
2025-05-09,ICU,ICU_2025-05-09,18,36,2.0
2025-05-10,ICU,ICU_2025-05-10,18,36,2.0
2025-05-11,ICU,ICU_2025-05-11,18,37,2.06
2025-05-12,ICU,ICU_2025-05-12,19,38,2.0
2025-05-13,ICU,ICU_2025-05-13,20,40,2.0
2025-05-14,ICU,ICU_2025-05-14,18,37,2.06
2025-05-15,ICU,ICU_2025-05-15,18,36,2.0
2025-05-16,ICU,ICU_2025-05-16,19,38,2.0
2025-05-17,ICU,ICU_2025-05-17,18,36,2.0
2025-05-18,ICU,ICU_2025-05-18,20,39,1.95
2025-05-19,ICU,ICU_2025-05-19,16,33,2.06
2025-05-20,ICU,ICU_2025-05-20,18,36,2.0
2025-05-21,ICU,ICU_2025-05-21,17,34,2.0
2025-05-22,ICU,ICU_2025-05-22,18,36,2.0
2025-05-23,ICU,ICU_2025-05-23,18,35,1.94
2025-05-24,ICU,ICU_2025-05-24,17,34,2.0
2025-05-25,ICU,ICU_2025-05-25,16,33,2.06
2025-05-26,ICU,ICU_2025-05-26,17,34,2.0
2025-05-27,ICU,ICU_2025-05-27,20,39,1.95
2025-05-28,ICU,ICU_2025-05-28,20,40,2.0
2025-05-29,ICU,ICU_2025-05-29,19,38,2.0
2025-05-30,ICU,ICU_2025-05-30,18,36,2.0
2025-05-31,ICU,ICU_2025-05-31,17,34,2.0
2025-06-01,ICU,ICU_2025-06-01,18,36,2.0
2025-06-02,ICU,ICU_2025-06-02,19,38,2.0
2025-06-03,ICU,ICU_2025-06-03,20,40,2.0
2025-06-04,ICU,ICU_2025-06-04,20,40,2.0
2025-06-05,ICU,ICU_2025-06-05,18,35,1.94
2025-06-06,ICU,ICU_2025-06-06,19,38,2.0
2025-06-07,ICU,ICU_2025-06-07,16,32,2.0
2025-06-08,ICU,ICU_2025-06-08,19,38,2.0
2025-06-09,ICU,ICU_2025-06-09,19,38,2.0
2025-06-10,ICU,ICU_2025-06-10,20,40,2.0
2025-06-11,ICU,ICU_2025-06-11,17,34,2.0
2025-06-12,ICU,ICU_2025-06-12,18,37,2.06
2025-06-13,ICU,ICU_2025-06-13,19,38,2.0
2025-06-14,ICU,ICU_2025-06-14,18,36,2.0
2025-06-15,ICU,ICU_2025-06-15,18,37,2.06
2025-06-16,ICU,ICU_2025-06-16,18,36,2.0
2025-06-17,ICU,ICU_2025-06-17,20,40,2.0
2025-06-18,ICU,ICU_2025-06-18,20,39,1.95
2025-06-19,ICU,ICU_2025-06-19,20,40,2.0
2025-06-20,ICU,ICU_2025-06-20,19,38,2.0
2025-06-21,ICU,ICU_2025-06-21,18,35,1.94
2025-06-22,ICU,ICU_2025-06-22,18,36,2.0
2025-06-23,ICU,ICU_2025-06-23,19,38,2.0
2025-06-24,ICU,ICU_2025-06-24,18,36,2.0
2025-06-25,ICU,ICU_2025-06-25,18,35,1.94
2025-06-26,ICU,ICU_2025-06-26,17,34,2.0
2025-06-27,ICU,ICU_2025-06-27,18,37,2.06
2025-06-28,ICU,ICU_2025-06-28,18,36,2.0
2025-06-29,ICU,ICU_2025-06-29,18,37,2.06
2025-06-30,ICU,ICU_2025-06-30,18,36,2.0
2025-07-01,ICU,ICU_2025-07-01,18,35,1.94
2025-07-02,ICU,ICU_2025-07-02,20,39,1.95
2025-07-03,ICU,ICU_2025-07-03,19,38,2.0
2025-07-04,ICU,ICU_2025-07-04,18,37,2.06
2025-07-05,ICU,ICU_2025-07-05,20,39,1.95
2025-07-06,ICU,ICU_2025-07-06,20,39,1.95
2025-07-07,ICU,ICU_2025-07-07,20,39,1.95
2025-07-08,ICU,ICU_2025-07-08,16,32,2.0
2025-07-09,ICU,ICU_2025-07-09,18,37,2.06
2025-07-10,ICU,ICU_2025-07-10,20,40,2.0
2025-07-11,ICU,ICU_2025-07-11,20,39,1.95
2025-07-12,ICU,ICU_2025-07-12,18,36,2.0
2025-07-13,ICU,ICU_2025-07-13,19,38,2.0
2025-07-14,ICU,ICU_2025-07-14,20,39,1.95
2025-07-15,ICU,ICU_2025-07-15,18,37,2.06
2025-07-16,ICU,ICU_2025-07-16,18,37,2.06
2025-07-17,ICU,ICU_2025-07-17,18,37,2.06
2025-07-18,ICU,ICU_2025-07-18,18,37,2.06
2025-07-19,ICU,ICU_2025-07-19,17,34,2.0
2025-07-20,ICU,ICU_2025-07-20,17,34,2.0
2025-07-21,ICU,ICU_2025-07-21,20,40,2.0
2025-07-22,ICU,ICU_2025-07-22,20,39,1.95
2025-07-23,ICU,ICU_2025-07-23,20,39,1.95
2025-07-24,ICU,ICU_2025-07-24,18,36,2.0
2025-07-25,ICU,ICU_2025-07-25,19,38,2.0
2025-07-26,ICU,ICU_2025-07-26,17,34,2.0
2025-07-27,ICU,ICU_2025-07-27,20,40,2.0
2025-07-28,ICU,ICU_2025-07-28,18,35,1.94
2025-07-29,ICU,ICU_2025-07-29,18,36,2.0
2025-07-30,ICU,ICU_2025-07-30,18,36,2.0
2025-07-31,ICU,ICU_2025-07-31,18,35,1.94
2025-08-01,ICU,ICU_2025-08-01,18,37,2.06
2025-08-02,ICU,ICU_2025-08-02,18,37,2.06
2025-08-03,ICU,ICU_2025-08-03,18,37,2.06
2025-08-04,ICU,ICU_2025-08-04,20,39,1.95
2025-08-05,ICU,ICU_2025-08-05,18,36,2.0
2025-08-06,ICU,ICU_2025-08-06,18,37,2.06
2025-08-07,ICU,ICU_2025-08-07,18,35,1.94
2025-08-08,ICU,ICU_2025-08-08,18,37,2.06
2025-08-09,ICU,ICU_2025-08-09,20,40,2.0
2025-08-10,ICU,ICU_2025-08-10,18,37,2.06
2025-08-11,ICU,ICU_2025-08-11,17,34,2.0
2025-08-12,ICU,ICU_2025-08-12,18,35,1.94
2025-08-13,ICU,ICU_2025-08-13,18,35,1.94
2025-08-14,ICU,ICU_2025-08-14,18,35,1.94
2025-08-15,ICU,ICU_2025-08-15,19,38,2.0
2025-08-16,ICU,ICU_2025-08-16,20,39,1.95
2025-08-17,ICU,ICU_2025-08-17,18,35,1.94
2025-08-18,ICU,ICU_2025-08-18,20,39,1.95
2025-08-19,ICU,ICU_2025-08-19,18,36,2.0
2025-08-20,ICU,ICU_2025-08-20,19,38,2.0
2025-08-21,ICU,ICU_2025-08-21,17,34,2.0
2025-08-22,ICU,ICU_2025-08-22,18,36,2.0
2025-08-23,ICU,ICU_2025-08-23,20,40,2.0
2025-08-24,ICU,ICU_2025-08-24,17,34,2.0
2025-08-25,ICU,ICU_2025-08-25,17,34,2.0
2025-08-26,ICU,ICU_2025-08-26,18,37,2.06
2025-08-27,ICU,ICU_2025-08-27,18,37,2.06
2025-08-28,ICU,ICU_2025-08-28,18,36,2.0
2025-08-29,ICU,ICU_2025-08-29,17,34,2.0
2025-08-30,ICU,ICU_2025-08-30,18,35,1.94
2025-08-31,ICU,ICU_2025-08-31,18,37,2.06
2025-09-01,ICU,ICU_2025-09-01,18,36,2.0
2025-09-02,ICU,ICU_2025-09-02,19,38,2.0
2025-09-03,ICU,ICU_2025-09-03,16,33,2.06
2025-09-04,ICU,ICU_2025-09-04,18,37,2.06
2025-09-05,ICU,ICU_2025-09-05,18,36,2.0
2025-09-06,ICU,ICU_2025-09-06,18,35,1.94
2025-09-07,ICU,ICU_2025-09-07,19,38,2.0
2025-09-08,ICU,ICU_2025-09-08,16,33,2.06
2025-09-09,ICU,ICU_2025-09-09,18,36,2.0
2025-09-10,ICU,ICU_2025-09-10,18,35,1.94
2025-09-11,ICU,ICU_2025-09-11,18,36,2.0
2025-09-12,ICU,ICU_2025-09-12,20,39,1.95
2025-09-13,ICU,ICU_2025-09-13,18,36,2.0
2025-09-14,ICU,ICU_2025-09-14,20,39,1.95
2025-09-15,ICU,ICU_2025-09-15,17,34,2.0
2025-09-16,ICU,ICU_2025-09-16,18,36,2.0
2025-09-17,ICU,ICU_2025-09-17,17,34,2.0
2025-09-18,ICU,ICU_2025-09-18,18,36,2.0
2025-09-19,ICU,ICU_2025-09-19,19,38,2.0
2025-09-20,ICU,ICU_2025-09-20,18,36,2.0
2025-09-21,ICU,ICU_2025-09-21,18,37,2.06
2025-09-22,ICU,ICU_2025-09-22,18,37,2.06
2025-09-23,ICU,ICU_2025-09-23,20,39,1.95
2025-09-24,ICU,ICU_2025-09-24,20,39,1.95
2025-09-25,ICU,ICU_2025-09-25,18,37,2.06
2025-09-26,ICU,ICU_2025-09-26,18,35,1.94
2025-09-27,ICU,ICU_2025-09-27,18,36,2.0
2025-09-28,ICU,ICU_2025-09-28,17,34,2.0
2025-09-29,ICU,ICU_2025-09-29,18,37,2.06
2025-09-30,ICU,ICU_2025-09-30,19,38,2.0
2025-10-01,ICU,ICU_2025-10-01,18,36,2.0
2025-10-02,ICU,ICU_2025-10-02,18,37,2.06
2025-10-03,ICU,ICU_2025-10-03,19,38,2.0
2025-10-04,ICU,ICU_2025-10-04,19,38,2.0
2025-10-05,ICU,ICU_2025-10-05,19,38,2.0
2025-10-06,ICU,ICU_2025-10-06,18,35,1.94
2025-10-07,ICU,ICU_2025-10-07,18,37,2.06
2025-10-08,ICU,ICU_2025-10-08,18,35,1.94
2025-10-09,ICU,ICU_2025-10-09,20,40,2.0
2025-10-10,ICU,ICU_2025-10-10,18,35,1.94
2025-10-11,ICU,ICU_2025-10-11,18,36,2.0
2025-10-12,ICU,ICU_2025-10-12,17,34,2.0
2025-10-13,ICU,ICU_2025-10-13,18,36,2.0
2025-10-14,ICU,ICU_2025-10-14,20,39,1.95
2025-10-15,ICU,ICU_2025-10-15,18,35,1.94
2025-10-16,ICU,ICU_2025-10-16,20,39,1.95
2025-10-17,ICU,ICU_2025-10-17,16,33,2.06
2025-10-18,ICU,ICU_2025-10-18,19,38,2.0
2025-10-19,ICU,ICU_2025-10-19,18,36,2.0
2025-10-20,ICU,ICU_2025-10-20,16,32,2.0
2025-10-21,ICU,ICU_2025-10-21,19,38,2.0
2025-10-22,ICU,ICU_2025-10-22,19,38,2.0
2025-10-23,ICU,ICU_2025-10-23,20,40,2.0
2025-10-24,ICU,ICU_2025-10-24,18,36,2.0
2025-10-25,ICU,ICU_2025-10-25,16,33,2.06
2025-10-26,ICU,ICU_2025-10-26,18,36,2.0
2025-10-27,ICU,ICU_2025-10-27,18,35,1.94
2025-10-28,ICU,ICU_2025-10-28,20,39,1.95
2025-10-29,ICU,ICU_2025-10-29,20,39,1.95
2025-10-30,ICU,ICU_2025-10-30,19,38,2.0
2025-10-31,ICU,ICU_2025-10-31,18,37,2.06
2025-11-01,ICU,ICU_2025-11-01,18,36,2.0
2025-11-02,ICU,ICU_2025-11-02,19,38,2.0
2025-11-03,ICU,ICU_2025-11-03,20,40,2.0
2025-11-04,ICU,ICU_2025-11-04,17,34,2.0
2025-11-05,ICU,ICU_2025-11-05,18,35,1.94
2025-11-06,ICU,ICU_2025-11-06,18,36,2.0
2025-11-07,ICU,ICU_2025-11-07,18,36,2.0
2025-11-08,ICU,ICU_2025-11-08,19,38,2.0
2025-11-09,ICU,ICU_2025-11-09,18,37,2.06
2025-11-10,ICU,ICU_2025-11-10,19,38,2.0
2025-11-11,ICU,ICU_2025-11-11,19,38,2.0
2025-11-12,ICU,ICU_2025-11-12,18,36,2.0
2025-11-13,ICU,ICU_2025-11-13,19,38,2.0
2025-11-14,ICU,ICU_2025-11-14,18,37,2.06
2025-11-15,ICU,ICU_2025-11-15,18,37,2.06
2025-11-16,ICU,ICU_2025-11-16,18,36,2.0
2025-11-17,ICU,ICU_2025-11-17,20,40,2.0
2025-11-18,ICU,ICU_2025-11-18,20,39,1.95
2025-11-19,ICU,ICU_2025-11-19,20,39,1.95
